Book	Chapter	Verse	Hebrew
I Kings	15	1	
I Kings	16	1	
I Kings	17	1	
I Kings	18	1	
I Kings	19	1	
I Kings	20	1	
I Kings	21	1	
I Kings	22	1	
II Kings	1	1	
II Kings	2	1	
II Kings	3	1	
II Kings	4	1	
II Kings	5	1	
II Kings	6	1	
II Kings	7	1	
II Kings	8	1	
II Kings	9	1	
II Kings	10	1	
II Kings	11	1	
II Kings	12	1	
II Kings	13	1	
II Kings	14	1	
II Kings	15	1	
II Kings	16	1	
II Kings	17	1	
II Kings	18	1	
II Kings	19	1	
II Kings	20	1	
II Kings	21	1	
II Kings	22	1	
II Kings	23	1	
II Kings	24	1	
II Kings	25	1	
Isaiah	1	1	
Isaiah	2	1	
Isaiah	3	1	
Isaiah	4	1	
Isaiah	5	1	
Isaiah	6	1	
Isaiah	7	1	
Isaiah	8	1	
Isaiah	9	1	
Isaiah	10	1	
Isaiah	11	1	
Isaiah	12	1	
Isaiah	13	1	
Isaiah	14	1	
Isaiah	15	1	
Isaiah	16	1	
Isaiah	17	1	
Isaiah	18	1	
Isaiah	19	1	
Isaiah	20	1	
Isaiah	21	1	
Isaiah	22	1	
Isaiah	23	1	
Isaiah	24	1	
Isaiah	25	1	
Isaiah	26	1	
Isaiah	27	1	
Isaiah	28	1	
Isaiah	29	1	
Isaiah	30	1	
Isaiah	31	1	
Isaiah	32	1	
Isaiah	33	1	
Isaiah	34	1	
Isaiah	35	1	
Isaiah	36	1	
Isaiah	37	1	
Isaiah	38	1	
Isaiah	39	1	
Isaiah	40	1	
Isaiah	41	1	
Isaiah	42	1	
Isaiah	43	1	
Isaiah	44	1	
Isaiah	45	1	
Isaiah	46	1	
Isaiah	47	1	
Isaiah	48	1	
Isaiah	49	1	
Isaiah	50	1	
Isaiah	51	1	
Isaiah	52	1	
Isaiah	53	1	
Isaiah	54	1	
Isaiah	55	1	
Isaiah	56	1	
Isaiah	57	1	
Isaiah	58	1	
Isaiah	59	1	
Isaiah	60	1	
Isaiah	61	1	
Isaiah	62	1	
Isaiah	63	1	
Isaiah	64	1	
Isaiah	65	1	
Isaiah	66	1	
Jeremiah	1	1	
Jeremiah	2	1	
Jeremiah	3	1	
Jeremiah	4	1	
Jeremiah	5	1	
Jeremiah	6	1	
Jeremiah	7	1	
